video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,11,90.75,99.0,8.25,https://youtu.be/-dVj7BYicmQ?t=91s,outro_cta,aux,0,0.5,'Taste and See Tampa Bay' news end card.,"'Taste and See Tampa Bay' news end card. aux phase, ~92% in, 1:30–1:39.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,58,464.97,472.98,8.01,https://youtu.be/-pjWKo7zgrs?t=465s,outro_cta,aux,0,0.6,'Thank you for watching' card.,"'Thank you for watching' card. aux phase, ~97% in, 7:44–7:52.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,59,472.98,481.0,8.02,https://youtu.be/-pjWKo7zgrs?t=473s,outro_cta,aux,0,0.6,'Thank you for watching' card.,"'Thank you for watching' card. aux phase, ~98% in, 7:52–8:01.",,0,,,,,,,1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,102,813.11,821.08,7.97,https://youtu.be/0tS8V3Gj9C0?t=813s,outro_cta,aux,0,0.6,"'From Kayla — like, comment & subscribe' end card.","'From Kayla — like, comment & subscribe' end card. aux phase, ~96% in, 13:33–13:41.",,0,,,,,,,1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,103,821.08,829.06,7.98,https://youtu.be/0tS8V3Gj9C0?t=821s,outro_cta,aux,0,0.6,"'From Kayla — like, comment & subscribe' end card.","'From Kayla — like, comment & subscribe' end card. aux phase, ~97% in, 13:41–13:49.",,0,,,,,,,1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,104,829.06,837.03,7.97,https://youtu.be/0tS8V3Gj9C0?t=829s,outro_cta,aux,0,0.6,"'From Kayla — like, comment & subscribe' end card.","'From Kayla — like, comment & subscribe' end card. aux phase, ~98% in, 13:49–13:57.",,0,,,,,,,1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,105,837.03,845.0,7.97,https://youtu.be/0tS8V3Gj9C0?t=837s,outro_cta,aux,0,0.6,"'From Kayla — like, comment & subscribe' end card.","'From Kayla — like, comment & subscribe' end card. aux phase, ~99% in, 13:57–14:05.",,0,,,,,,,1,,
1-44rrfu7kc,https://www.youtube.com/watch?v=1-44rrfu7kc,Satisfying Candle Making Process |DIY Christmas Candle 🎄| Learn Candle Making at Home,162.0,storyboard,18,145.8,153.9,8.1,https://youtu.be/1-44rrfu7kc?t=146s,outro_cta,aux,0,0.5,"On-screen text card (auto-detected: static frame, OCR text). Text reads: 'ae aa ea Pye Pre as rr 4 ae sae er We Ee yrs Ms ee 4 Ls 5 ZA! 4 Aa if Pt hd ay ga bs At Fi Cie ot 7 Ady Pe 4'.","On-screen text card (auto-detected: static frame, OCR text). Text reads: 'ae aa ea Pye Pre as rr 4 ae sae er We Ee yrs Ms ee 4 Ls 5 ZA! 4 Aa if Pt hd ay ga bs At Fi Cie ot 7 Ady Pe 4'. aux phase, ~90% in, 2:25–2:33.",,0,,,,,,,1,,
1-44rrfu7kc,https://www.youtube.com/watch?v=1-44rrfu7kc,Satisfying Candle Making Process |DIY Christmas Candle 🎄| Learn Candle Making at Home,162.0,storyboard,19,153.9,162.0,8.1,https://youtu.be/1-44rrfu7kc?t=154s,outro_cta,aux,0,0.5,"On-screen text card (auto-detected: static frame, OCR text). Text reads: 'ae aa ea Pye Pre as rr 4 ae sae er We Ee yrs Ms ee 4 Ls 5 ZA! 4 Aa if Pt hd ay ga bs At Fi Cie ot 7 Ady Pe 4'.","On-screen text card (auto-detected: static frame, OCR text). Text reads: 'ae aa ea Pye Pre as rr 4 ae sae er We Ee yrs Ms ee 4 Ls 5 ZA! 4 Aa if Pt hd ay ga bs At Fi Cie ot 7 Ady Pe 4'. aux phase, ~95% in, 2:33–2:42.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,60,476.25,484.19,7.94,https://youtu.be/1V3hfxo7OtE?t=476s,outro_cta,aux,0,0.65,'THANK YOU!' end card,"'THANK YOU!' end card. Outro - subscribe call to action, end card, thanks for watching. aux phase, ~94% in, 7:56–8:04.",,0,,,,,,,1,,
1tDWhMxtEqU,https://www.youtube.com/watch?v=1tDWhMxtEqU,Easiest Beeswax Candle Recipe | How to Make a Beeswax Candle,512.0,storyboard,52,416.0,424.0,8.0,https://youtu.be/1tDWhMxtEqU?t=416s,outro_cta,aux,0,0.6,Subscribe / keep-watching end screen.,"Subscribe / keep-watching end screen. aux phase, ~81% in, 6:56–7:04.",,0,,,,,,,1,,
1tDWhMxtEqU,https://www.youtube.com/watch?v=1tDWhMxtEqU,Easiest Beeswax Candle Recipe | How to Make a Beeswax Candle,512.0,storyboard,53,424.0,432.0,8.0,https://youtu.be/1tDWhMxtEqU?t=424s,outro_cta,aux,0,0.6,Subscribe / keep-watching end screen.,"Subscribe / keep-watching end screen. aux phase, ~83% in, 7:04–7:12.",,0,,,,,,,1,,
